Neighborhood,City,State,2018-07
Hayes Valley,San Francisco,CA,"$3,030"
Van Ness - Civic Center,San Francisco,CA,"$2,977"
Tenderloin,San Francisco,CA,"$2,977"
Downtown,San Francisco,CA,"$3,040"
Western Addition,San Francisco,CA,"$2,989"
Marina,San Francisco,CA,"$2,948"
Russian Hill,San Francisco,CA,"$2,954"
Lower Pacific Heights,San Francisco,CA,"$2,963"
Nob Hill,San Francisco,CA,"$3,050"
Pacific Heights,San Francisco,CA,"$2,973"
Noe Valley,San Francisco,CA,"$2,818"
Stonestown,San Francisco,CA,"$2,640"
Pine Lake Park,San Francisco,CA,"$2,640"
Merced Manor,San Francisco,CA,"$2,640"
Merced Heights,San Francisco,CA,"$2,640"
Lakeside,San Francisco,CA,"$2,640"
Lake Shore,San Francisco,CA,"$2,640"
Ingleside Heights,San Francisco,CA,"$2,640"
North Panhandle,San Francisco,CA,"$3,048"
Alamo Square,San Francisco,CA,"$3,048"
Telegraph Hill,San Francisco,CA,"$3,055"
North Beach,San Francisco,CA,"$3,055"
Anza Vista,San Francisco,CA,"$3,099"
Midtown Terrace,San Francisco,CA,"$2,967"
Glen Park,San Francisco,CA,"$2,967"
Diamond Heights,San Francisco,CA,"$2,967"
Forest Knolls,San Francisco,CA,"$3,005"
Sunnyside,San Francisco,CA,"$3,039"
Financial District,San Francisco,CA,"$3,472"
Inner Mission,San Francisco,CA,"$3,384"
North Waterfront,San Francisco,CA,"$3,403"
Mission Dolores,San Francisco,CA,"$3,389"
Twin Peaks,San Francisco,CA,"$3,154"
South of Market,San Francisco,CA,"$3,490"
Potrero Hill,San Francisco,CA,"$3,490"
Lone Mountain,San Francisco,CA,"$3,283"
Golden Gate Park,San Francisco,CA,"$3,283"
Yerba Buena,San Francisco,CA,"$3,563"
Central Waterfront - Dogpatch,San Francisco,CA,"$3,596"
Presidio Heights,San Francisco,CA,"$3,484"
Lake Street,San Francisco,CA,"$3,484"
Jordan Park,San Francisco,CA,"$3,484"
Inner Richmond,San Francisco,CA,"$3,484"
Central Richmond,San Francisco,CA,"$3,484"
South Beach,San Francisco,CA,"$3,646"
Mission Bay,San Francisco,CA,"$3,711"
